
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	. miv_ihcc_mem_2s_IHC_SUBSYSTEM_11_8, 64, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCC_2s_3s_4s, 226, 145, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_ihcc_ctrl_2s_3s_4s_1s_3s, 226, 141, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_irqs_8, 22, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_2s_IHC_SUBSYSTEM_11_10, 64, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_2s_IHC_SUBSYSTEM_11_9, 64, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCC_4s_0s_1s, 356, 148, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_ihcc_ctrl_4s_0s_1s_1s_3s, 356, 142, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_irqs, 22, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7, 128, 10, 64, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7_0, 128, 4, 64, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCC_4s_0s_2s, 354, 140, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_ihcc_ctrl_4s_0s_2s_1s_3s, 354, 134, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_irqs_0, 22, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7_1, 128, 10, 64, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7_2, 128, 4, 64, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCC_4s_0s_3s, 354, 138, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_ihcc_ctrl_4s_0s_3s_1s_3s, 354, 133, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_irqs_1, 22, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7_3, 128, 10, 64, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7_4, 128, 4, 64, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCC_4s_0s_4s, 354, 140, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_ihcc_ctrl_4s_0s_4s_1s_3s, 354, 135, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_irqs_2, 22, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7_5, 128, 10, 64, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7_6, 128, 4, 64, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCIA_0, 21, 25, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCIA_1, 21, 34, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCIA_2, 21, 34, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCIA_3, 21, 33, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCIA_4, 21, 26, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_SOC_MSS, 0, 10, 0, 0, 0, 0, 0, 0, 94
.	. CAPE, 1470, 552, 930, 0, 0, 0, 0, 0, 49
.	.	. CAPE_DEFAULT_GPIOS, 0, 0, 0, 0, 0, 0, 0, 0, 26
.	.	. CAPE_PWM, 455, 130, 338, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_C1, 455, 130, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	. corepwm_Z6_DEFAULT_5FA9D321C0A50A8B39677C, 455, 130, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_pwm_gen_2s_32s_0_0s_2, 2, 10, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_reg_if_Z7_2, 389, 116, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_timebase_32s_0s_1_1_0, 64, 1, 146, 0, 0, 0, 0, 0, 0
.	.	. CAPE_PWM_0, 455, 128, 338, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_C1_1, 455, 128, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	. corepwm_Z6_DEFAULT_5FA9D321C0A50A8B39677C_0, 455, 128, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_pwm_gen_2s_32s_0_0s_2_0, 2, 10, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_reg_if_Z7_2_0, 389, 117, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_timebase_32s_0s_1_1_1, 64, 1, 146, 0, 0, 0, 0, 0, 0
.	.	. CAPE_PWM_2, 454, 163, 254, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_C1_0, 454, 163, 254, 0, 0, 0, 0, 0, 0
.	.	.	.	. corepwm_Z6_0, 454, 163, 254, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_pwm_gen_2s_32s_0_0s_0, 1, 5, 48, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_reg_if_Z7_0, 389, 73, 60, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_timebase_32s_0s_1_1, 64, 85, 146, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_CAPE, 0, 125, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAPB3_Z3, 0, 125, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAPB3_MUXPTOB3_2, 0, 122, 0, 0, 0, 0, 0, 0, 0
.	.	. P8_GPIO_UPPER, 64, 2, 0, 0, 0, 0, 0, 0, 16
.	.	.	. CoreGPIO_P8_UPPER, 64, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreGPIO_P8_UPPER_CoreGPIO_P8_UPPER_0_CoreGPIO_Z4, 64, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. P9_GPIO, 42, 4, 0, 0, 0, 0, 0, 0, 7
.	.	.	. CoreGPIO_P9, 42, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreGPIO_P9_CoreGPIO_P9_0_CoreGPIO_Z5, 42, 4, 0, 0, 0, 0, 0, 0, 0
.	. CLOCKS_AND_RESETS, 49, 1, 0, 0, 0, 0, 0, 8, 0
.	.	. CLK_DIV, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CLK_DIV_CLK_DIV_0_PF_CLK_DIV, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CORERESET_0, 17, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_3, 17, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. CORERESET_2, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_1, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CORERESET_3, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_0, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. FPGA_CCC_C0, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	.	.	. FPGA_CCC_C0_FPGA_CCC_C0_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	.	. GLITCHLESS_MUX, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. GLITCHLESS_MUX_GLITCHLESS_MUX_0_PF_NGMUX, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. INIT_MONITOR_INIT_MONITOR_0_PFSOC_INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
